soc,battery_temp,speed,ac_on,distance_travelled,energy_consumed,remaining_range
46.835910102025814,43.767857660247905,88.55951534491241,0,61.70076500491626,7.703274441281029,86.31148190677024
43.365231946816856,23.57167044804852,82.07107783590823,0,97.14143595538945,10.348832632957684,92.07683870777419
33.04882440765347,24.545624180177516,44.6723607882747,1,63.107050246386684,3.3083739216370036,82.2631597599553
48.988182595796715,21.166641580340386,107.90044150731673,0,48.32664850061841,6.867797686498234,93.90313476996336
31.972271483460577,32.85586096034029,77.39316550896339,0,86.69433863995046,8.997127668315422,66.97326226349261
95.08714923321249,34.08220544613848,60.83332020319329,1,14.278850830606467,1.2732339156586396,200.8360713333903
52.41296196786611,23.05095587111947,69.61415280890162,0,21.469642083238348,1.7886270358075556,125.73131158474789
51.1382493317558,25.19854157170472,75.41602622559932,0,97.11053963763307,9.290435099615118,115.34409446543836
94.85741003295607,42.37068376069122,77.83199830488681,1,36.02137303655436,4.324730648470093,175.2601144933275
86.78537713764287,38.68300275343452,73.17537059112638,1,38.89156603589098,4.009255095261344,166.40761295978257
61.12916706845112,23.523105624369066,94.17575846032318,0,6.485458640413423,0.7323580872881996,121.70503374622828
16.19678493078218,24.97106010222013,86.907356219892,0,78.27068293516484,7.469524731640938,31.90444525247745
45.46958692626317,22.896726488128245,99.04827407004748,1,47.69781404312932,5.74571827395755,94.26743570578397
71.60340031248721,34.782444692693176,51.977743439205135,0,49.860417890385186,3.1544329916989042,163.9144020148276
75.62580691395458,39.019626215422434,74.9021758055597,0,29.326490662325778,2.729246189058869,151.7559567439369
52.34360265859046,25.042980058384906,101.66108765388155,0,34.86381820225103,4.2622740458607735,110.81357872976389
92.1431502837179,26.232305728721872,62.830633842850375,0,24.290816349803094,2.018229605346705,232.641870775734
89.8397663162969,35.608851203344834,53.65069486701712,0,87.78875606783318,6.631198584723986,213.50683429609037
30.858455005313047,42.313974962249446,73.14737935325206,1,16.598355696563967,1.792891053846133,56.01086553948811
70.0536602460158,20.013009424882895,58.20550850673352,0,5.660452400463117,0.41597234692125484,170.55762936433635
50.47993526764621,25.552695261768257,39.589229386694626,1,28.191924613538546,1.3579644820814019,130.22688926391433
49.32607453993347,21.62230617772454,50.313233114747575,1,28.919318103409594,1.9483324229684997,108.49863347492347
40.57465633442542,27.12101235943669,32.95095578836262,0,97.77842080410203,3.8780249218631933,113.61518491802106
68.91986429961592,37.01763628886917,72.47476666537091,1,98.63679314050707,9.842689456536556,133.22823735284155
72.13152152949968,39.04049038321794,49.01100351939198,0,81.29827685609011,5.420357255608932,166.6314466578343
84.39670922364763,39.95862812461378,42.057403517234356,0,22.719258487986153,1.1970696511526944,201.76842582016826
65.22590017100056,36.93910904605706,31.32702631422849,0,81.90259938327296,3.34219828921688,170.8478010517225
86.20535900212288,36.89225292598202,88.81728953926176,1,92.84589373646347,12.860642830480097,144.47243723838417
36.925038355788224,36.499601150854474,95.37777601609727,0,54.080409670746356,6.571345756714459,75.8576264899623
31.040104209017247,26.971783814804546,86.02862639782171,1,90.22547469549482,11.052006229045151,63.454378307047676
81.28942139789802,36.0507911538572,36.731197199603905,1,79.60736185582464,4.350613619902943,181.31067710166323
